smiles,assay_type,standard_value_nM,pActivity
COc1cc2nccc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,IC50,27000.0,4.568636235841013
COCOc1cc(C(C)(C)C)ccc1-c1ccc(C(=O)OC)cc1,IC50,10000.0,5.0
O=C(Nc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)Nc2ccccc2)[nH]c2ccccc12,IC50,100000.0,4.0
COc1cc2c(cc1OC)Sc1ncnc(Oc3cccc(Cl)c3F)c1NC2,IC50,19300.0,4.714442690992226
CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)CC1,IC50,30000.0,4.522878745280337
Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3cccc4ccccc34)c12,IC50,167300.0,3.776504059037605
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCC(CC2CCC(NC(=O)/C(C#N)=C/c3ccc(O)c(O)c3)CC2)CC1,IC50,20300.0,4.692503962086787
Cc1ccc(-c2nnc(SCc3ccccc3)o2)c(O)c1,IC50,34250.0,4.465339424171556
O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccc(Cl)cc2)=N1,IC50,10920.0,4.961777361631282
CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c(C(N)=O)n1N,IC50,11802.0,4.928044389697019
C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)OC(C)(C)C,IC50,40000.0,4.3979400086720375
Nc1nc(Nc2cccc(Br)c2)c2ccn(Cc3ccc(Cl)cc3)c2n1,IC50,99900.0,4.000434511774018
CN1CCN(C(=O)Cn2c(-c3ccccc3)csc2=N)CC1,Ki,41580.0,4.3811155150045495
COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC,IC50,69183.1,4.159999981744464
N#CC(C#N)=Cc1cc(O)cc(O)c1,IC50,37000.0,4.431798275933005
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCNC,IC50,12000.0,4.920818753952375
Cc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,IC50,39709.575,4.401104761038422
CN(C(=O)c1ccc(N(CCCl)CCCl)cc1)c1ccccc1,IC50,14720.0,4.83209218999852
CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,IC50,100000.0,4.0
Nc1scc2c1c(Nc1ccc(S(N)(=O)=O)cc1)nc1ncnc(N)c12,IC50,29500.0,4.530177984021837
Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1,IC50,10000.0,5.0
CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,IC50,23981.0,4.620132710919122
