smiles,assay_type,scaffold,split
COc1cc2nccc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,IC50,c1ccc(Nc2ccnc3ccccc23)cc1,train
COCOc1cc(C(C)(C)C)ccc1-c1ccc(C(=O)OC)cc1,IC50,c1ccc(-c2ccccc2)cc1,train
O=C(Nc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)Nc2ccccc2)[nH]c2ccccc12,IC50,O=C(Nc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)Nc2ccccc2)[nH]c2ccccc12,train
COc1cc2c(cc1OC)Sc1ncnc(Oc3cccc(Cl)c3F)c1NC2,IC50,c1ccc(Oc2ncnc3c2NCc2ccccc2S3)cc1,train
CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)CC1,IC50,O=C(NC1CCNCC1)c1cnc(Nc2ccccc2)nc1NC1CCCCC1,train
Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3cccc4ccccc34)c12,IC50,c1ccc2c(Sc3cccc4[nH]c5ncncc5c34)cccc2c1,test
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCC(CC2CCC(NC(=O)/C(C#N)=C/c3ccc(O)c(O)c3)CC2)CC1,IC50,O=C(C=Cc1ccccc1)NC1CCC(CC2CCC(NC(=O)/C=C/c3ccccc3)CC2)CC1,train
Cc1ccc(-c2nnc(SCc3ccccc3)o2)c(O)c1,IC50,c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,val
O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccc(Cl)cc2)=N1,IC50,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccccc2)=N1,train
CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c(C(N)=O)n1N,IC50,O=C(Nc1ccccn1)c1ccc(-c2c[nH]c([C@@H]3CCCCN3)n2)cc1,train
C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)OC(C)(C)C,IC50,O=S(=O)(Oc1ccccc1)c1ccccc1,train
Nc1nc(Nc2cccc(Br)c2)c2ccn(Cc3ccc(Cl)cc3)c2n1,IC50,c1ccc(Cn2ccc3c(Nc4ccccc4)ncnc32)cc1,train
CN1CCN(C(=O)Cn2c(-c3ccccc3)csc2=N)CC1,Ki,N=c1scc(-c2ccccc2)n1CC(=O)N1CCNCC1,train
COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC,IC50,c1ccc(Nc2ccnc3ccccc23)cc1,train
N#CC(C#N)=Cc1cc(O)cc(O)c1,IC50,c1ccccc1,val
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCNC,IC50,c1ccc(Nc2nccc(-c3c[nH]c4cccnc34)n2)cc1,train
Cc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,IC50,c1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,train
CN(C(=O)c1ccc(N(CCCl)CCCl)cc1)c1ccccc1,IC50,O=C(Nc1ccccc1)c1ccccc1,val
CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,IC50,c1cnc2ccc(-c3n[nH]c4ncncc34)cc2c1,train
Nc1scc2c1c(Nc1ccc(S(N)(=O)=O)cc1)nc1ncnc(N)c12,IC50,c1ccc(Nc2nc3ncncc3c3cscc23)cc1,train
Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1,IC50,c1ccc(CNc2ncnc3ccncc23)cc1,val
CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,IC50,C1=Cc2ccccc2/C1=C\c1ccccc1,train
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,IC50,O=C(Nc1ccccc1)c1ccccc1NCc1ccncc1,train
CC(=O)c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,IC50,O=C(Nc1ccccc1)c1cc2ccccc2[nH]1,train
CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(Cl)cc1,IC50,c1ccc(C2=NNC(c3ccccc3)C2)cc1,train
Nc1nc(Nc2ccc(Cl)cc2)c2cc(Cc3cccc4ccccc34)[nH]c2n1,IC50,c1ccc(Nc2ncnc3[nH]c(Cc4cccc5ccccc45)cc23)cc1,train
O=C(c1ccccc1)c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,IC50,O=C(c1ccccc1)c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,val
CC(C)(C)NC(=O)c1ccc(N(CCCl)CCCl)cc1,IC50,c1ccccc1,val
Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,test
CC(=O)c1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,IC50,c1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,train
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(S(=O)(=O)NC(=N)N)cc3)c2c1,IC50,c1ccc(Nc2ncnc3ccccc23)cc1,train
O=C(Nc1cnn(-c2ccccc2)c1)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,IC50,O=C(Nc1cnn(-c2ccccc2)c1)c1ccc(NS(=O)(=O)c2ccccc2)cc1,train
CC(C)NCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,IC50,c1ccc(Nc2ccnc3ccccc23)cc1,train
C[C@@H](O)c1nc2cnc(Nc3ccnc(N4CC[C@H](O)[C@H](F)C4)n3)cc2n1[C@H](C)C(F)(F)F,IC50,c1cc(Nc2cc3[nH]cnc3cn2)nc(N2CCCCC2)n1,val
N#CC(C#N)=Cc1ccc[nH]1,IC50,c1cc[nH]c1,train
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,IC50,c1ccccc1,val
COc1cc2c(C#N)cnc(Nc3cccc(Br)c3)c2cc1OC,IC50,c1ccc(Nc2nccc3ccccc23)cc1,test
CC(C)(C)C(=O)Nc1nc(Nc2ccc(F)c(C(F)(F)F)c2)c2cc(CCc3ccccn3)[nH]c2n1,IC50,c1ccc(Nc2ncnc3[nH]c(CCc4ccccn4)cc23)cc1,train
O=C1/C(=C\c2ccc(O)c(O)c2)Oc2ccccc21,IC50,O=C1/C(=C\c2ccccc2)Oc2ccccc21,train
Cc1nn(C)cc1C(=O)Nc1ccn(Cc2c(F)cccc2Cl)n1,IC50,O=C(Nc1ccn(Cc2ccccc2)n1)c1cn[nH]c1,val
Clc1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2SC3)cc1,IC50,c1ccc(Nc2ncc3c(n2)-c2ccccc2SC3)cc1,test
CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21,IC50,c1cnc2ncc(-c3n[nH]c4ncncc34)cc2n1,train
COc1cc2c(cc1OC)Sc1ncnc(N(C)c3cccc(Cl)c3)c1NC2,IC50,c1ccc(Nc2ncnc3c2NCc2ccccc2S3)cc1,train
